Date,Open,High,Low,Close,Volume
3/5/2010,38.75,41.25,37.5,41.25,98735
3/8/2010,41,45,40,41.25,57150
3/9/2010,40,41.25,38,39.5,21233
3/10/2010,39.5,39.5,38.75,38.75,12114
3/11/2010,38.75,38.75,37.5,38.75,32645
3/12/2010,40,40,38.75,38.75,3850
3/15/2010,40,42.5,39.75,39.75,12520
3/16/2010,39.75,40,39.75,40,1999
3/17/2010,39.5,39.5,39.5,39.5,1400
3/18/2010,39.5,42.5,39.5,40,18836
3/19/2010,40,41.75,40,41.25,42400
3/22/2010,42.25,42.5,40,40.25,11301
3/23/2010,40,40,38.75,38.75,4750
3/24/2010,39.5,40,39.5,39.5,8401
3/25/2010,41.25,41.25,37.75,37.75,30598
3/26/2010,42.5,42.5,40,41.25,61530
3/29/2010,41.25,43.75,41.25,42.5,38814
3/30/2010,43.75,45,43,43.25,30396
3/31/2010,43,43.75,42.5,43.75,5450
4/1/2010,43.75,43.75,42.25,43.75,6483
4/5/2010,43.75,43.75,42.5,42.75,2200
4/6/2010,42.75,42.75,42.5,42.5,6985
4/7/2010,41.5,43.75,41.5,43.75,13060
4/8/2010,43.5,43.75,42.5,43.75,24600
4/9/2010,43.75,43.75,43.75,43.75,1988
4/12/2010,43.75,43.75,43.75,43.75,15212
4/13/2010,44,44,43.75,43.75,2825
4/15/2010,43.75,45,43.75,45,15292
4/16/2010,43.75,44.75,43.75,44.75,1909
4/19/2010,45,45,44,44.75,3900
4/20/2010,44.75,45,43.75,43.75,4600
4/21/2010,43.75,45,43.75,44.75,31456
4/22/2010,45,46.25,45,46.25,26468
4/23/2010,47.5,53.75,46.25,51.25,93847
4/26/2010,51.25,52.5,50,51.25,44038
4/27/2010,44.5,49.75,44.25,49.5,20240
4/28/2010,49.25,49.75,46.25,46.75,24700
4/29/2010,47.5,47.5,46.5,47.5,9819
4/30/2010,46.75,47.5,46.25,46.25,24732
5/3/2010,46.25,46.28,42.75,43.75,24116
5/4/2010,43.75,46.25,37.5,40,38401
5/5/2010,40,41.25,37.5,38.75,16963
5/6/2010,40,40,37.25,37.5,6000
5/7/2010,38,38.75,37.5,37.5,29515
5/10/2010,38.75,41.25,37.5,40,24498
5/11/2010,41.25,41.25,40.25,41.25,5300
5/12/2010,45.5,45.5,37.5,38.75,65482
5/13/2010,38.75,38.75,38.75,38.75,19464
5/14/2010,40,41.25,38.75,40.75,17738
5/17/2010,41.25,43.5,41.25,43,9710
5/18/2010,43,43.75,40.75,43.75,10562
5/19/2010,38.75,41,38.25,38.75,8850
5/20/2010,39.25,43.75,39.25,41.75,14177
5/21/2010,40,42.5,37.5,42.5,46673
5/24/2010,42.5,43.5,41.75,41.75,15418
5/25/2010,41,41.25,41,41.25,2500
5/26/2010,41.25,43.75,41.25,43.25,32136
5/27/2010,43.25,44.25,43.25,44,19099
5/28/2010,45,49,45,48.75,35955
6/1/2010,47.5,49,47.5,48.75,56961
6/2/2010,48.75,49.5,47.5,48.75,24100
6/3/2010,48.75,49.5,47.5,48.5,9781
6/4/2010,48.5,50,48.5,49.75,22833
6/7/2010,49.5,49.75,48.25,48.25,9535
6/8/2010,48.25,50,46.25,47.75,49624
6/9/2010,47.75,47.75,47.5,47.5,3500
6/10/2010,49.25,50,46.5,48.75,18206
6/11/2010,48.75,49.5,47.5,47.5,25220
6/14/2010,47.5,49.25,47.5,49.25,14476
6/15/2010,49.25,49.25,46.25,48.75,9992
6/16/2010,48.75,48.75,47.5,47.5,2000
6/17/2010,47.25,47.25,46.25,46.75,2000
6/18/2010,47.25,49.5,47.25,49.5,1787
6/21/2010,49.5,49.5,46.75,48.75,1110
6/22/2010,46.75,48.75,46.75,48.75,12713
6/23/2010,46.5,48.75,46.25,47,30000
6/24/2010,47,48.25,46.5,46.5,13300
6/25/2010,47.5,47.5,46.25,47,16220
6/28/2010,46.5,48,46.25,47.25,36663
6/29/2010,48.5,48.75,45,45,22851
6/30/2010,46.25,46.25,45,45.5,2900
7/2/2010,46.25,47.5,46.25,47.5,6500
7/6/2010,46.25,47.5,46.25,47.5,1100
7/7/2010,46.5,47.5,46.5,47.5,700
7/8/2010,47.5,47.5,46.25,46.25,19269
7/9/2010,46.25,47.5,46.25,47.5,18800
